Participant_ID,Index,Condition,FRS_2_bool,Gender,Age,Field_of_study,FRS_1_01,FRS_1_02,FRS_1_03,FRS_1_04,FRS_1_05,FRS_1_06,FRS_1_07,FRS_1_08,FRS_1_09,FRS_1_10,FRS_1_11,FRS_1_12,FRS_1_13,FRS_1_14,FRS_1_15,FRS_1_16,FRS_1_17,FRS_1_18,FRS_1_19,FRS_2_01,FRS_2_02,FRS_2_03,FRS_2_04,FRS_2_05,FRS_2_06,FRS_2_07,FRS_2_08,FRS_2_09,FRS_2_10,FRS_2_11,FRS_2_12,FRS_2_13,FRS_2_14,FRS_2_15,FRS_2_16,FRS_2_17,FRS_2_18,FRS_2_19
1004,1,0,FALSE,1,NA,NA,7,6,6,6,6,1,5,6,4,6,4,7,5,6,5,5,2,4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1005,2,0,FALSE,1,NA,NA,5,5,2,5,5,1,2,2,2,5,2,5,6,4,5,2,3,5,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1008,3,0,FALSE,0,NA,NA,6,6,4,5,3,2,6,4,6,5,6,4,4,4,5,6,3,5,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1010,4,0,FALSE,1,NA,NA,2,3,2,3,3,1,2,2,2,4,3,2,2,2,4,3,1,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1011,5,0,FALSE,1,NA,NA,3,6,1,2,1,2,1,1,2,2,5,2,5,2,5,2,2,3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1013,6,0,FALSE,1,NA,NA,4,6,2,3,4,6,5,3,2,3,6,4,3,3,4,4,3,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1017,7,0,FALSE,1,NA,NA,2,1,1,3,3,1,2,2,1,3,1,2,3,2,4,4,1,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1018,8,0,FALSE,1,NA,NA,5,4,2,4,4,1,4,4,2,4,7,4,4,4,6,5,1,4,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1019,9,0,FALSE,0,NA,NA,5,2,2,5,6,7,5,4,3,5,2,6,5,5,6,3,3,5,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1021,10,0,FALSE,0,NA,NA,5,5,4,6,3,2,4,5,3,6,5,6,4,5,3,3,2,3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1022,11,0,FALSE,1,NA,NA,6,6,6,5,4,4,5,4,3,5,3,5,5,5,7,7,5,4,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1023,12,0,FALSE,1,NA,NA,5,6,5,3,4,1,5,4,4,4,5,4,5,4,4,4,1,4,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1027,13,1,TRUE,0,NA,NA,3,6,3,5,5,2,3,2,2,2,6,6,6,4,3,4,5,5,4,5,2,5,6,5,6,5,3,6,5,7,4,3,4,7,7,6,2,6
1029,14,1,TRUE,1,NA,NA,6,4,2,5,6,4,5,6,3,5,6,6,5,5,4,5,6,3,6,7,6,6,7,6,6,7,6,6,6,7,6,6,6,6,7,6,5,5
1031,15,1,TRUE,1,NA,NA,4,7,2,2,7,1,2,2,4,3,6,5,6,2,3,4,1,3,2,6,6,7,4,7,4,6,3,5,5,6,3,6,3,4,4,2,6,4
