"","Participant_ID","Condition","FRS_2_bool","Gender","Age","Field_of_study","FRS","Question","Answer","Scale"
"1",1027,"Belt",TRUE,0,NA,NA,"Pre-Training",1,3,"Egocentric"
"2",1029,"Belt",TRUE,1,NA,NA,"Pre-Training",1,6,"Egocentric"
"3",1031,"Belt",TRUE,1,NA,NA,"Pre-Training",1,4,"Egocentric"
"4",1034,"Belt",TRUE,0,NA,NA,"Pre-Training",1,5,"Egocentric"
"5",1035,"Belt",TRUE,1,NA,NA,"Pre-Training",1,5,"Egocentric"
"6",1036,"Belt",TRUE,1,NA,NA,"Pre-Training",1,6,"Egocentric"
"7",1041,"Belt",TRUE,1,NA,NA,"Pre-Training",1,3,"Egocentric"
"8",1043,"Belt",TRUE,1,NA,NA,"Pre-Training",1,6,"Egocentric"
"9",1044,"Belt",TRUE,1,NA,NA,"Pre-Training",1,6,"Egocentric"
"10",1045,"Belt",TRUE,0,NA,NA,"Pre-Training",1,4,"Egocentric"
"11",1047,"Belt",TRUE,0,NA,NA,"Pre-Training",1,6,"Egocentric"
"12",1049,"Belt",TRUE,1,NA,NA,"Pre-Training",1,6,"Egocentric"
"13",1060,"Belt",TRUE,1,NA,NA,"Pre-Training",1,6,"Egocentric"
"14",1062,"Belt",TRUE,1,NA,NA,"Pre-Training",1,2,"Egocentric"
"15",1082,"Belt",TRUE,1,NA,NA,"Pre-Training",1,7,"Egocentric"
"16",1083,"Belt",TRUE,1,NA,NA,"Pre-Training",1,4,"Egocentric"
"17",1086,"Belt",TRUE,0,NA,NA,"Pre-Training",1,3,"Egocentric"
"18",1136,"Belt",TRUE,1,NA,NA,"Pre-Training",1,6,"Egocentric"
"19",1038,"Belt",TRUE,0,NA,NA,"Pre-Training",1,5,"Egocentric"
"20",1088,"Belt",TRUE,1,NA,NA,"Pre-Training",1,5,"Egocentric"
"21",1089,"Belt",TRUE,1,NA,NA,"Pre-Training",1,5,"Egocentric"
"22",1090,"Belt",TRUE,1,NA,NA,"Pre-Training",1,3,"Egocentric"
"23",1091,"Belt",TRUE,0,NA,NA,"Pre-Training",1,7,"Egocentric"
"24",1092,"Belt",TRUE,0,NA,NA,"Pre-Training",1,5,"Egocentric"
"25",1093,"Belt",TRUE,1,NA,NA,"Pre-Training",1,6,"Egocentric"
"26",1100,"Belt",TRUE,1,NA,NA,"Pre-Training",1,5,"Egocentric"
"27",1101,"Belt",TRUE,1,NA,NA,"Pre-Training",1,2,"Egocentric"
"28",1027,"Belt",TRUE,0,NA,NA,"Post-Training",1,5,"Egocentric"
"29",1029,"Belt",TRUE,1,NA,NA,"Post-Training",1,7,"Egocentric"
"30",1031,"Belt",TRUE,1,NA,NA,"Post-Training",1,6,"Egocentric"
"31",1034,"Belt",TRUE,0,NA,NA,"Post-Training",1,5,"Egocentric"
"32",1035,"Belt",TRUE,1,NA,NA,"Post-Training",1,6,"Egocentric"
"33",1036,"Belt",TRUE,1,NA,NA,"Post-Training",1,7,"Egocentric"
"34",1041,"Belt",TRUE,1,NA,NA,"Post-Training",1,3,"Egocentric"
"35",1043,"Belt",TRUE,1,NA,NA,"Post-Training",1,6,"Egocentric"
"36",1044,"Belt",TRUE,1,NA,NA,"Post-Training",1,6,"Egocentric"
"37",1045,"Belt",TRUE,0,NA,NA,"Post-Training",1,6,"Egocentric"
"38",1047,"Belt",TRUE,0,NA,NA,"Post-Training",1,6,"Egocentric"
"39",1049,"Belt",TRUE,1,NA,NA,"Post-Training",1,6,"Egocentric"
"40",1060,"Belt",TRUE,1,NA,NA,"Post-Training",1,6,"Egocentric"
"41",1062,"Belt",TRUE,1,NA,NA,"Post-Training",1,2,"Egocentric"
"42",1082,"Belt",TRUE,1,NA,NA,"Post-Training",1,6,"Egocentric"
"43",1083,"Belt",TRUE,1,NA,NA,"Post-Training",1,5,"Egocentric"
"44",1086,"Belt",TRUE,0,NA,NA,"Post-Training",1,4,"Egocentric"
"45",1136,"Belt",TRUE,1,NA,NA,"Post-Training",1,5,"Egocentric"
"46",1038,"Belt",TRUE,0,NA,NA,"Post-Training",1,6,"Egocentric"
"47",1088,"Belt",TRUE,1,NA,NA,"Post-Training",1,6,"Egocentric"
"48",1089,"Belt",TRUE,1,NA,NA,"Post-Training",1,5,"Egocentric"
"49",1090,"Belt",TRUE,1,NA,NA,"Post-Training",1,6,"Egocentric"
"50",1091,"Belt",TRUE,0,NA,NA,"Post-Training",1,7,"Egocentric"
"51",1092,"Belt",TRUE,0,NA,NA,"Post-Training",1,5,"Egocentric"
"52",1093,"Belt",TRUE,1,NA,NA,"Post-Training",1,6,"Egocentric"
"53",1100,"Belt",TRUE,1,NA,NA,"Post-Training",1,5,"Egocentric"
"54",1101,"Belt",TRUE,1,NA,NA,"Post-Training",1,5,"Egocentric"
"55",1004,"Control",FALSE,1,NA,NA,"Control group",1,7,"Egocentric"
"56",1005,"Control",FALSE,1,NA,NA,"Control group",1,5,"Egocentric"
"57",1008,"Control",FALSE,0,NA,NA,"Control group",1,6,"Egocentric"
"58",1010,"Control",FALSE,1,NA,NA,"Control group",1,2,"Egocentric"
"59",1011,"Control",FALSE,1,NA,NA,"Control group",1,3,"Egocentric"
"60",1013,"Control",FALSE,1,NA,NA,"Control group",1,4,"Egocentric"
"61",1017,"Control",FALSE,1,NA,NA,"Control group",1,2,"Egocentric"
"62",1018,"Control",FALSE,1,NA,NA,"Control group",1,5,"Egocentric"
"63",1019,"Control",FALSE,0,NA,NA,"Control group",1,5,"Egocentric"
"64",1021,"Control",FALSE,0,NA,NA,"Control group",1,5,"Egocentric"
"65",1022,"Control",FALSE,1,NA,NA,"Control group",1,6,"Egocentric"
"66",1023,"Control",FALSE,1,NA,NA,"Control group",1,5,"Egocentric"
"67",1054,"Control",FALSE,1,NA,NA,"Control group",1,5,"Egocentric"
"68",1055,"Control",FALSE,1,NA,NA,"Control group",1,3,"Egocentric"
"69",1056,"Control",FALSE,0,NA,NA,"Control group",1,6,"Egocentric"
"70",1057,"Control",FALSE,0,NA,NA,"Control group",1,7,"Egocentric"
"71",1058,"Control",FALSE,1,NA,NA,"Control group",1,5,"Egocentric"
"72",1068,"Control",FALSE,1,NA,NA,"Control group",1,5,"Egocentric"
"73",1069,"Control",FALSE,0,NA,NA,"Control group",1,5,"Egocentric"
"74",1072,"Control",FALSE,0,NA,NA,"Control group",1,5,"Egocentric"
"75",1073,"Control",FALSE,1,NA,NA,"Control group",1,3,"Egocentric"
"76",1074,"Control",FALSE,1,NA,NA,"Control group",1,5,"Egocentric"
"77",1075,"Control",FALSE,1,NA,NA,"Control group",1,5,"Egocentric"
"78",1077,"Control",FALSE,1,NA,NA,"Control group",1,5,"Egocentric"
"79",1079,"Control",FALSE,1,NA,NA,"Control group",1,5,"Egocentric"
"80",1080,"Control",FALSE,0,NA,NA,"Control group",1,4,"Egocentric"
"241",1027,"Belt",TRUE,0,NA,NA,"Pre-Training",4,5,"Egocentric"
"242",1029,"Belt",TRUE,1,NA,NA,"Pre-Training",4,5,"Egocentric"
"243",1031,"Belt",TRUE,1,NA,NA,"Pre-Training",4,2,"Egocentric"
"244",1034,"Belt",TRUE,0,NA,NA,"Pre-Training",4,6,"Egocentric"
"245",1035,"Belt",TRUE,1,NA,NA,"Pre-Training",4,4,"Egocentric"
"246",1036,"Belt",TRUE,1,NA,NA,"Pre-Training",4,4,"Egocentric"
"247",1041,"Belt",TRUE,1,NA,NA,"Pre-Training",4,2,"Egocentric"
"248",1043,"Belt",TRUE,1,NA,NA,"Pre-Training",4,5,"Egocentric"
"249",1044,"Belt",TRUE,1,NA,NA,"Pre-Training",4,6,"Egocentric"
"250",1045,"Belt",TRUE,0,NA,NA,"Pre-Training",4,4,"Egocentric"
"251",1047,"Belt",TRUE,0,NA,NA,"Pre-Training",4,6,"Egocentric"
"252",1049,"Belt",TRUE,1,NA,NA,"Pre-Training",4,5,"Egocentric"
"253",1060,"Belt",TRUE,1,NA,NA,"Pre-Training",4,6,"Egocentric"
"254",1062,"Belt",TRUE,1,NA,NA,"Pre-Training",4,1,"Egocentric"
"255",1082,"Belt",TRUE,1,NA,NA,"Pre-Training",4,7,"Egocentric"
"256",1083,"Belt",TRUE,1,NA,NA,"Pre-Training",4,5,"Egocentric"
"257",1086,"Belt",TRUE,0,NA,NA,"Pre-Training",4,3,"Egocentric"
"258",1136,"Belt",TRUE,1,NA,NA,"Pre-Training",4,6,"Egocentric"
"259",1038,"Belt",TRUE,0,NA,NA,"Pre-Training",4,6,"Egocentric"
"260",1088,"Belt",TRUE,1,NA,NA,"Pre-Training",4,3,"Egocentric"
"261",1089,"Belt",TRUE,1,NA,NA,"Pre-Training",4,1,"Egocentric"
"262",1090,"Belt",TRUE,1,NA,NA,"Pre-Training",4,3,"Egocentric"
"263",1091,"Belt",TRUE,0,NA,NA,"Pre-Training",4,7,"Egocentric"
"264",1092,"Belt",TRUE,0,NA,NA,"Pre-Training",4,5,"Egocentric"
"265",1093,"Belt",TRUE,1,NA,NA,"Pre-Training",4,4,"Egocentric"
"266",1100,"Belt",TRUE,1,NA,NA,"Pre-Training",4,3,"Egocentric"
"267",1101,"Belt",TRUE,1,NA,NA,"Pre-Training",4,5,"Egocentric"
"268",1027,"Belt",TRUE,0,NA,NA,"Post-Training",4,6,"Egocentric"
"269",1029,"Belt",TRUE,1,NA,NA,"Post-Training",4,7,"Egocentric"
"270",1031,"Belt",TRUE,1,NA,NA,"Post-Training",4,4,"Egocentric"
"271",1034,"Belt",TRUE,0,NA,NA,"Post-Training",4,5,"Egocentric"
"272",1035,"Belt",TRUE,1,NA,NA,"Post-Training",4,5,"Egocentric"
"273",1036,"Belt",TRUE,1,NA,NA,"Post-Training",4,5,"Egocentric"
"274",1041,"Belt",TRUE,1,NA,NA,"Post-Training",4,3,"Egocentric"
"275",1043,"Belt",TRUE,1,NA,NA,"Post-Training",4,7,"Egocentric"
"276",1044,"Belt",TRUE,1,NA,NA,"Post-Training",4,6,"Egocentric"
"277",1045,"Belt",TRUE,0,NA,NA,"Post-Training",4,6,"Egocentric"
"278",1047,"Belt",TRUE,0,NA,NA,"Post-Training",4,6,"Egocentric"
"279",1049,"Belt",TRUE,1,NA,NA,"Post-Training",4,3,"Egocentric"
"280",1060,"Belt",TRUE,1,NA,NA,"Post-Training",4,6,"Egocentric"
"281",1062,"Belt",TRUE,1,NA,NA,"Post-Training",4,2,"Egocentric"
"282",1082,"Belt",TRUE,1,NA,NA,"Post-Training",4,6,"Egocentric"
"283",1083,"Belt",TRUE,1,NA,NA,"Post-Training",4,5,"Egocentric"
"284",1086,"Belt",TRUE,0,NA,NA,"Post-Training",4,6,"Egocentric"
"285",1136,"Belt",TRUE,1,NA,NA,"Post-Training",4,5,"Egocentric"
"286",1038,"Belt",TRUE,0,NA,NA,"Post-Training",4,5,"Egocentric"
"287",1088,"Belt",TRUE,1,NA,NA,"Post-Training",4,6,"Egocentric"
"288",1089,"Belt",TRUE,1,NA,NA,"Post-Training",4,1,"Egocentric"
"289",1090,"Belt",TRUE,1,NA,NA,"Post-Training",4,7,"Egocentric"
"290",1091,"Belt",TRUE,0,NA,NA,"Post-Training",4,7,"Egocentric"
"291",1092,"Belt",TRUE,0,NA,NA,"Post-Training",4,4,"Egocentric"
"292",1093,"Belt",TRUE,1,NA,NA,"Post-Training",4,5,"Egocentric"
"293",1100,"Belt",TRUE,1,NA,NA,"Post-Training",4,5,"Egocentric"
"294",1101,"Belt",TRUE,1,NA,NA,"Post-Training",4,5,"Egocentric"
"295",1004,"Control",FALSE,1,NA,NA,"Control group",4,6,"Egocentric"
"296",1005,"Control",FALSE,1,NA,NA,"Control group",4,5,"Egocentric"
"297",1008,"Control",FALSE,0,NA,NA,"Control group",4,5,"Egocentric"
"298",1010,"Control",FALSE,1,NA,NA,"Control group",4,3,"Egocentric"
"299",1011,"Control",FALSE,1,NA,NA,"Control group",4,2,"Egocentric"
"300",1013,"Control",FALSE,1,NA,NA,"Control group",4,3,"Egocentric"
"301",1017,"Control",FALSE,1,NA,NA,"Control group",4,3,"Egocentric"
"302",1018,"Control",FALSE,1,NA,NA,"Control group",4,4,"Egocentric"
"303",1019,"Control",FALSE,0,NA,NA,"Control group",4,5,"Egocentric"
"304",1021,"Control",FALSE,0,NA,NA,"Control group",4,6,"Egocentric"
"305",1022,"Control",FALSE,1,NA,NA,"Control group",4,5,"Egocentric"
"306",1023,"Control",FALSE,1,NA,NA,"Control group",4,3,"Egocentric"
"307",1054,"Control",FALSE,1,NA,NA,"Control group",4,4,"Egocentric"
"308",1055,"Control",FALSE,1,NA,NA,"Control group",4,3,"Egocentric"
"309",1056,"Control",FALSE,0,NA,NA,"Control group",4,6,"Egocentric"
"310",1057,"Control",FALSE,0,NA,NA,"Control group",4,5,"Egocentric"
"311",1058,"Control",FALSE,1,NA,NA,"Control group",4,4,"Egocentric"
"312",1068,"Control",FALSE,1,NA,NA,"Control group",4,5,"Egocentric"
"313",1069,"Control",FALSE,0,NA,NA,"Control group",4,6,"Egocentric"
"314",1072,"Control",FALSE,0,NA,NA,"Control group",4,7,"Egocentric"
"315",1073,"Control",FALSE,1,NA,NA,"Control group",4,4,"Egocentric"
"316",1074,"Control",FALSE,1,NA,NA,"Control group",4,4,"Egocentric"
"317",1075,"Control",FALSE,1,NA,NA,"Control group",4,5,"Egocentric"
"318",1077,"Control",FALSE,1,NA,NA,"Control group",4,3,"Egocentric"
"319",1079,"Control",FALSE,1,NA,NA,"Control group",4,4,"Egocentric"
"320",1080,"Control",FALSE,0,NA,NA,"Control group",4,4,"Egocentric"
"321",1027,"Belt",TRUE,0,NA,NA,"Pre-Training",5,5,"Egocentric"
"322",1029,"Belt",TRUE,1,NA,NA,"Pre-Training",5,6,"Egocentric"
"323",1031,"Belt",TRUE,1,NA,NA,"Pre-Training",5,7,"Egocentric"
"324",1034,"Belt",TRUE,0,NA,NA,"Pre-Training",5,7,"Egocentric"
"325",1035,"Belt",TRUE,1,NA,NA,"Pre-Training",5,5,"Egocentric"
"326",1036,"Belt",TRUE,1,NA,NA,"Pre-Training",5,2,"Egocentric"
"327",1041,"Belt",TRUE,1,NA,NA,"Pre-Training",5,4,"Egocentric"
"328",1043,"Belt",TRUE,1,NA,NA,"Pre-Training",5,4,"Egocentric"
"329",1044,"Belt",TRUE,1,NA,NA,"Pre-Training",5,5,"Egocentric"
"330",1045,"Belt",TRUE,0,NA,NA,"Pre-Training",5,6,"Egocentric"
"331",1047,"Belt",TRUE,0,NA,NA,"Pre-Training",5,7,"Egocentric"
"332",1049,"Belt",TRUE,1,NA,NA,"Pre-Training",5,7,"Egocentric"
"333",1060,"Belt",TRUE,1,NA,NA,"Pre-Training",5,5,"Egocentric"
"334",1062,"Belt",TRUE,1,NA,NA,"Pre-Training",5,3,"Egocentric"
"335",1082,"Belt",TRUE,1,NA,NA,"Pre-Training",5,4,"Egocentric"
