"","X","SubjectID","TrialNumber","StartingPositionIndex","TimeOut","TimeOutStr","TimeStampBegin","TimeStampEnd","TrialDuration","TriggerPressedFreq","CancelPressedFreq","ParticipantPosition_x","ParticipantRotation_x","ParticipantRotation_y","ParticipantRotation_z","ParticipantPosition_y","ParticipantPosition_z","TargetHousePos_x","TargetHouseRot_x","TargetHouseDir_x","GhostHouseInitPos_x","GhostHouseInitRot_x","TGhostHouseInitDir_x","GhostHouseFinalPos_x","GhostHouseFinalRot_x","TGhostHouseFinalDir_x","PointerPosition_x","PointerRotation_x","PointerDirection_x","PointerDirection_y","PointerDirection_z","PointerRotation_y","PointerRotation_z","PointerPosition_y","PointerPosition_z","GhostHouseFinalDir_y","GhostHouseFinalDir_z","GhostHouseFinalRot_y","GhostHouseFinalRot_z","GhostHouseFinalPos_y","GhostHouseFinalPos_z","GhostHouseInitDir_y","GhostHouseInitDir_z","GhostHouseInitRot_y","GhostHouseInitRot_z","GhostHouseInitPos_y","GhostHouseInitPos_z","TargetHouseDir_y","TargetHouseDir_z","TargetHouseRot_y","TargetHouseRot_z","TargetHousePos_y","TargetHousePos_z","TargetHouseIndex","TargetHouseName","GhostHouseName","TargetHouseID","GhostHouseRotDifferenceToTargetHouse","ParticipantDistanceToTargetHouse","ParticipantDistanceToGhostHouse","GhostHouseDistanceToTargetHouse","PointedDirections","Condition","Task","RecalculatedAngle","SignedAngle"
"1",0,1049,1,6,"False","False","2021-07-26 18:32:18.048967838","2021-07-26 18:33:45.730918407",87.6819505691528,2,0,-253.420608520508,7.47315788269043,125.146850585938,0.834118008613586,4.65867567062378,22.7034072875977,-334.536285400391,0.000017908081645,-0.668799102306366,37.4404907226562,0,-0.550627946853637,-241.999374389648,0,0.81004387140274,-253.09001159668,334.640655517578,0.887373447418212,0.428294152021408,-0.170682728290557,100.887641906738,20.9769191741943,4.25535535812378,22.6465835571289,0,-0.586369276046752,125.899787902832,0,3.70524740219116,12.7834014892578,0,0.834750771522522,326.589904785156,0,-366.848327636719,339.435028076172,-0.000000312554988113334,-0.743443250656127,221.97444152832,0.000010527434824,2.26127529144287,-4.95329093933105,3,"TaskBuilding_55","TaskBuilding_55",54,96.0746536254883,85.6751403808594,15.3705978393555,94.2324523925781,"[{'x': 0.338027566671371, 'y': -0.327460348606109, 'z': -0.8823304772377011}, {'x': 0.8873734474182121, 'y': 0.428294152021408, 'z': -0.170682728290557}]","Belt","GHP",150.285351781675,-150.285351781675
"2",1,1049,2,6,"False","False","2021-07-26 18:33:45.997205973","2021-07-26 18:34:28.677293301",42.6800873279572,2,0,-253.432601928711,359.080627441406,99.7827911376953,5.51375293731689,4.67481470108032,22.7641754150391,-166.058334350586,0.000011109343176,-0.645549297332763,-241.999374389648,0,0.81004387140274,-150.977249145508,0,-0.768292903900146,-253.437118530273,343.311920166016,-0.143781706690788,0.287161201238632,0.947029709815979,351.367065429688,26.0168514251709,4.21371030807495,23.2018356323242,0,0.640098392963409,309.799163818359,0,1.12214303016663,261.708526611328,0,-0.586369276046752,125.899787902832,0,3.70524740219116,12.7834014892578,-0.000000193894578615073,0.763718605041503,319.793121337891,0.000010480455785,2.423095703125,137.745452880859,0,"TaskBuilding_6","TaskBuilding_6",5,9.99395751953125,144.341110229492,259.877319335938,124.883850097656,"[{'x': -0.14378170669078802, 'y': 0.28716120123863204, 'z': 0.9470297098159791}]","Belt","GHP",45.8641385236392,-45.8641385236392
"3",2,1049,3,6,"False","False","2021-07-26 18:34:28.945079088","2021-07-26 18:35:57.837258339",88.8921792507172,2,0,-253.43196105957,359.8466796875,28.7149429321289,358.496917724609,4.67075490951538,22.8222198486328,-142.430191040039,-0.000000562343018373213,-0.703195452690124,-150.977249145508,0,-0.768292903900146,-6.95169067382812,0,-0.647418558597564,-253.096542358398,346.205047607422,0.917084455490112,0.238447979092597,0.319528818130493,70.7907409667969,24.5514354705811,4.24718999862671,22.8196868896484,0,0.762134611606597,319.652740478516,0,-0.316606998443603,-31.3887023925781,0,0.640098392963409,309.799163818359,0,1.12214303016663,261.708526611328,0.0000000098147374671953,0.710996627807617,315.316070556641,0.000007615650702,2.12820053100586,62.6601638793945,1,"TaskBuilding_41","TaskBuilding_41",40,-4.336669921875,117.994178771973,252.513687133789,164.941177368164,"[{'x': 0.9170844554901121, 'y': 0.23844797909259702, 'z': 0.319528818130493}]","Belt","GHP",0.533530864044477,0.533530864044984
"4",3,1049,4,6,"False","False","2021-07-26 18:35:58.103546619","2021-07-26 18:37:18.713896036",80.6103494167328,3,1,-253.432327270508,4.84619569778442,104.342636108398,3.89494156837463,4.66910982131958,22.7634124755859,-189.705505371094,270,-0.0000000298023223876953,-6.95169067382812,270,0,-177.074966430664,270,0,-253.143783569336,340.795745849609,0.943036019802093,0.32893693447113,0.049835611134767,86.9749603271484,15.0207214355469,4.21224737167358,22.7397918701172,1,0.0000000149011611938476,315.382232666016,0,3.48683905601501,-13.8038635253906,1.00000023841858,-0.000000216066837310791,319.652740478516,0,-0.316606998443603,-31.3887023925781,1,-0.000000238418579101562,314.622863769531,0,2.21589851379394,-22.1101989746094,2,"TaskBuilding_47","TaskBuilding_47",46,-0.759368896484375,78.1216659545898,84.8226623535156,15.1703996658325,"[{'x': 0.9302822351455681, 'y': 0.36233112215995705, 'z': 0.057368222624063006}, {'x': 0.9430360198020931, 'y': 0.32893693447113004, 'z': 0.049835611134767005}]","Belt","GHP",38.1765483309028,-38.1765483309028
"5",4,1049,5,3,"False","False","2021-07-26 18:37:19.865577221","2021-07-26 18:38:34.168535233",74.3029580116272,2,0,-114.204727172852,4.54588603973389,111.719223022461,5.36356592178345,0.065292358398437,-139.743011474609,-134.47297668457,90,0.0000000298023223876953,-177.074966430664,90,0,-69.2656097412109,90,0,-114.027328491211,344.357940673828,0.811037302017211,0.269626557826995,-0.519153237342834,122.623725891113,12.7354145050049,-0.421255946159362,-139.760162353516,-1,-0.0000000151339918375015,186.959350585938,0,-3.50297451019287,-218.986022949219,-1.00000023841858,-0.00000019371509552002,315.382232666016,0,3.48683905601501,-13.8038635253906,-1,0.000000432133674621582,129.875503540039,0,0.974637746810913,-4.41340208053589,1,"TaskBuilding_42","TaskBuilding_42",41,-57.0838470458984,136.643295288086,91.3544769287109,224.306610107422,"[{'x': 0.811037302017211, 'y': 0.269626557826995, 'z': -0.519153237342834}]","Belt","GHP",131.141571275014,131.141571275014
"6",5,1049,6,3,"False","False","2021-07-26 18:38:34.434823036","2021-07-26 18:39:59.316631556",84.8818085193634,2,0,-114.28205871582,4.29686069488525,144.242279052734,356.883239746094,0.06845998764038,-139.733245849609,-273.259429931641,0.000024247665351,-0.999782979488372,-69.2656097412109,0,-0.121165193617343,130.737686157227,0,-0.515590667724609,-113.954879760742,349.148468017578,0.964302003383636,0.188264608383178,0.18622113764286,79.0698699951172,25.5682754516602,-0.373082280158996,-139.655578613281,0,-0.856835007667541,211.03694152832,0,-5.50030517578125,-233.259185791016,0,-0.992632508277893,186.959350585938,0,-3.50297451019287,-218.986022949219,-0.000000423201583998889,-0.020830631256103,268.806396484375,0.000009407296602,-0.828033447265625,-177.61767578125,3,"TaskBuilding_53","TaskBuilding_53",52,57.7694549560547,163.438323974609,262.397918701172,407.837585449219,"[{'x': 0.964302003383636, 'y': 0.18826460838317802, 'z': 0.18622113764286002}]","Belt","GHP",177.526481998905,-177.526481998905
"7",6,1049,7,3,"False","False","2021-07-26 18:39:59.582925320","2021-07-26 18:41:15.091863155",75.5089378356934,2,0,-114.268478393555,1.18466937541962,109.59610748291,0.142699360847473,0.071805000305175,-139.701873779297,-133.890060424805,0.000004487968453,-0.727007031440734,130.737686157227,0,-0.515590667724609,-54.7450408935547,0,0.601505637168884,-113.986221313477,352.251281738281,0.642321228981018,0.134828850626945,0.754482984542846,40.409065246582,26.5097427368164,-0.420081615447998,-139.504974365234,0,-0.798868656158447,143.022201538086,0,-1.74017810821533,-121.094604492188,0,-0.856835007667541,211.03694152832,0,-5.50030517578125,-233.259185791016,-0.0000000783298261808341,0.686629951000213,313.363922119141,0.000001784343567,0.414817810058593,-53.5344390869141,2,"TaskBuilding_43","TaskBuilding_43",42,170.341720581055,88.2244491577148,62.3656387329102,104.081474304199,"[{'x': 0.6423212289810181, 'y': 0.13482885062694502, 'z': 0.754482984542846}]","Belt","GHP",53.2374030150738,53.2374030150738
"8",7,1049,8,3,"False","False","2021-07-26 18:41:15.358687878","2021-07-26 18:42:21.850076437",66.4913885593414,2,0,-114.237350463867,6.8845591545105,84.5271453857422,5.98381567001343,0.063846945762634,-139.694763183594,-69.5521850585938,0.000024381604816,0.730508506298065,-54.7450408935547,0,0.601505637168884,-79.2198333740234,0,-0.823345184326171,-114.162460327148,351.800537109375,0.487576991319656,0.142619594931602,0.861352622509002,29.512451171875,23.7055473327637,-0.441054701805114,-139.421356201172,0,0.567540943622589,304.578918457031,0,-1.15142846107483,-120.0908203125,0,-0.798868656158447,143.022201538086,0,-1.74017810821533,-121.094604492188,-0.00000042553926959954,-0.68290364742279,133.07096862793,-0.000012444954336,-1.52285003662109,-66.1002349853516,0,"TaskBuilding_39","TaskBuilding_39",38,-171.507949829102,86.0090560913086,40.1298294067383,54.8505668640137,"[{'x': 0.48757699131965604, 'y': 0.142619594931602, 'z': 0.861352622509002}]","Belt","GHP",1.75285839616752,-1.75285839616732
"9",8,1049,9,0,"False","False","2021-07-26 18:42:23.013909817","2021-07-26 18:43:44.016957998",81.0030481815338,2,0,263.3095703125,0.459937751293182,42.1114349365234,2.86590123176575,0.966400623321533,40.7894744873047,228.290725708008,0.0000000249886777936581,0.693580687046051,-79.2198333740234,0,-0.823345184326171,334.380035400391,0,-0.48527655005455,263.535858154297,0.222280099987983,0.377206325531005,-0.003879509866237,0.926121115684509,22.1609191894531,34.7262153625488,0.498643398284912,41.0601654052734,0,0.874360740184783,330.969421386719,0,-0.917811393737793,88.3453521728516,0,0.567540943622589,304.578918457031,0,-1.15142846107483,-120.0908203125,-0.000000000436134683923228,0.720378935337066,43.9142227172852,-0.000009195389793,-1.39228057861328,120.71403503418,3,"TaskBuilding_14","TaskBuilding_14",13,-287.055206298828,87.1486053466797,85.5300903320312,110.918434143066,"[{'x': 0.377206325531005, 'y': -0.0038795098662370003, 'z': 0.926121115684509}]","Belt","GHP",45.8214870735088,45.8214870735088
"10",9,1049,10,0,"False","False","2021-07-26 18:43:44.282688379","2021-07-26 18:45:04.779343843",80.4966554641724,2,0,263.305389404297,353.824829101562,58.2337684631348,6.65301990509033,0.978056907653808,40.7749404907227,401.828735351562,-0.000000924231756016525,-0.6323943734169,334.380035400391,0,-0.48527655005455,401.84716796875,0,-0.521651864051818,263.581085205078,347.658416748047,0.934148490428924,0.213739305734634,0.28580093383789,72.9886093139648,26.8031978607178,0.517447710037231,40.7863235473633,0,0.853158473968505,328.556884765625,0,-1.34033203125,3.24673461914062,0,0.874360740184783,330.969421386719,0,-0.917811393737793,88.3453521728516,0.0000000161308868484866,0.774646580219268,320.773010253906,0.000007580247256,-2.35771560668945,28.1659927368164,2,"TaskBuilding_12","TaskBuilding_12",11,-7.78387451171875,139.191940307617,143.636871337891,24.9400253295898,"[{'x': 0.9341484904289241, 'y': 0.213739305734634, 'z': 0.28580093383789}]","Belt","GHP",22.2123485410108,-22.2123485410108
