"","X","SubjectID","TrialNumber","StartingPositionIndex","TimeOut","TimeOutStr","TimeStampBegin","TimeStampEnd","TrialDuration","TheNorth","DeviationFromNorth","Angle","ForcedRotation_x","ForcedRotation_y","ForcedRotation_z","ForcedRotation_x.1","ForcedRotation_y.1","ForcedRotation_z.1","ParticipantPosition_x","ParticipantPosition_y","ParticipantPosition_z","ForcedRotation_x.2","ParticipantRotation_x","ParticipantRotation_y","ParticipantRotation_z","ForcedRotation_y.2","PointerPosition_x","PointerPosition_y","PointerPosition_z","ForcedRotation_z.2","PointerRotation_x","PointerRotation_y","PointerRotation_z","ParticipantPosition_x.1","PointerDirection_x","PointerDirection_y","PointerDirection_z","ParticipantPosition_y.1","ParticipantPosition_z.1","TriggerPressedFreq","ParticipantRotation_x.1","ParticipantRotation_y.1","ParticipantRotation_z.1","CancelPressedFreq","PointerPosition_x.1","PointerPosition_y.1","PointerPosition_z.1","PointerRotation_x.1","PointerRotation_y.1","PointerRotation_z.1","ParticipantPosition_x.2","PointerDirection_x.1","PointerDirection_y.1","PointerDirection_z.1","ParticipantPosition_y.2","ParticipantPosition_z.2","ParticipantRotation_x.2","ParticipantRotation_y.2","ParticipantRotation_z.2","PointerPosition_x.2","PointerPosition_y.2","PointerPosition_z.2","PointerRotation_x.2","PointerRotation_y.2","PointerRotation_z.2","PointerDirection_x.2","PointerDirection_y.2","PointerDirection_z.2","PointedDirections","TriggerPressedTimeStamps","CancelPressedTimeStamps","Condition","Task","RecalculatedAngle","SignedAngle","UnityAngle","rounded_exp_Angle","rounded_exp_recalcAngle"
"1",1,1027,1,27,"False","False","2021-07-07 06:13:46.018796800","2021-07-07 06:14:10.641757184",24.6229605674744,-230,90,1.93391048908234,0,220,0,0,220,0,53.9987030029297,-0.666698217391967,-60.5101318359375,0,356.344421386719,344.268493652344,1.34678685665131,220,54.5678863525391,-1.13576138019562,-61.1681365966797,0,356.341491699219,128.065979003906,0.891909420490264,53.9987030029297,0.785696864128112,0.063809588551521,-0.615312099456787,-0.666698217391967,-60.5101318359375,2,356.344421386719,344.268493652344,1.34678685665131,0,54.5678863525391,-1.13576138019562,-61.1681365966797,356.341491699219,128.065979003906,0.891909420490264,53.9987030029297,0.785696864128112,0.063809588551521,-0.615312099456787,-0.666698217391967,-60.5101318359375,356.344421386719,344.268493652344,1.34678685665131,54.5678863525391,-1.13576138019562,-61.1681365966797,356.341491699219,128.065979003906,0.891909420490264,0.785696864128112,0.063809588551521,-0.615312099456787,"[{'x': 0.785696864128112, 'y': 0.06380958855152101, 'z': -0.615312099456787}]","[1625638449.7420125, 1625638450.6412604]","[]","Belt","PTN",1.93401774060534,-1.93401774060566,1.93391048908234,1.934,1.934
"2",2,1027,2,18,"False","False","2021-07-07 06:14:11.792975104","2021-07-07 06:14:27.899108352",16.10613322258,-230,255,26.6794319152832,0,25,0,0,25,0,110.465110778809,0.122477054595947,196.961242675781,0,354.203918457031,303.874816894531,359.070343017578,25,111.225570678711,-0.379364490509033,196.710113525391,0,356.294189453125,103.320579528809,359.039794921875,110.465110778809,0.971061646938324,0.064633458852767,-0.229917600750923,0.122477054595947,196.961242675781,2,354.203918457031,303.874816894531,359.070343017578,0,111.225570678711,-0.379364490509033,196.710113525391,356.294189453125,103.320579528809,359.039794921875,110.465110778809,0.971061646938324,0.064633458852767,-0.229917600750923,0.122477054595947,196.961242675781,354.203918457031,303.874816894531,359.070343017578,111.225570678711,-0.379364490509033,196.710113525391,356.294189453125,103.320579528809,359.039794921875,0.971061646938324,0.064633458852767,-0.229917600750923,"[{'x': 0.9710616469383241, 'y': 0.064633458852767, 'z': -0.22991760075092302}]","[1625638467.0886447, 1625638467.8991084]","[]","Belt","PTN",26.6794178705466,-26.6794178705466,26.6794319152832,26.679,26.679
"3",3,1027,3,29,"False","False","2021-07-07 06:14:29.042389760","2021-07-07 06:14:48.344751616",19.3023617267609,-230,180,27.0466918945312,0,310,0,0,310,0,38.9187164306641,1.69564628601074,53.9706039428711,0,355.516265869141,331.784088134766,5.1219744682312,310,39.1695098876953,1.2262487411499,53.1960372924805,0,351.897735595703,157.046691894531,352.281646728516,38.9187164306641,0.386088132858276,0.140940248966217,-0.911631762981414,1.69564628601074,53.9706039428711,2,355.516265869141,331.784088134766,5.1219744682312,0,39.1695098876953,1.2262487411499,53.1960372924805,351.897735595703,157.046691894531,352.281646728516,38.9187164306641,0.386088132858276,0.140940248966217,-0.911631762981414,1.69564628601074,53.9706039428711,355.516265869141,331.784088134766,5.1219744682312,39.1695098876953,1.2262487411499,53.1960372924805,351.897735595703,157.046691894531,352.281646728516,0.386088132858276,0.140940248966217,-0.911631762981414,"[{'x': 0.38608813285827603, 'y': 0.140940248966217, 'z': -0.911631762981414}]","[1625638487.879007, 1625638488.3447516]","[]","Belt","PTN",27.0466985151711,27.0466985151711,27.0466918945312,27.047,27.047
"4",4,1027,4,45,"False","False","2021-07-07 06:14:49.487536896","2021-07-07 06:14:58.128364800",8.64082789421082,-230,225,7.79739618301392,0,355,0,0,355,0,-185.455551147461,4.38878297805786,80.8611755371094,0,351.439483642578,165.738098144531,4.48663949966431,355,-184.846755981445,4.07838106155396,80.5799331665039,0,354.015991210938,122.202606201172,2.07295083999634,-185.455551147461,0.841558277606964,0.104250878095626,-0.530010938644409,4.38878297805786,80.8611755371094,2,351.439483642578,165.738098144531,4.48663949966431,0,-184.846755981445,4.07838106155396,80.5799331665039,354.015991210938,122.202606201172,2.07295083999634,-185.455551147461,0.841558277606964,0.104250878095626,-0.530010938644409,4.38878297805786,80.8611755371094,351.439483642578,165.738098144531,4.48663949966431,-184.846755981445,4.07838106155396,80.5799331665039,354.015991210938,122.202606201172,2.07295083999634,0.841558277606964,0.104250878095626,-0.530010938644409,"[{'x': 0.8415582776069641, 'y': 0.10425087809562601, 'z': -0.5300109386444091}]","[1625638497.684444, 1625638498.1283648]","[]","Belt","PTN",7.79739643467874,-7.79739643467875,7.79739618301392,7.797,7.797
"5",5,1027,5,43,"False","False","2021-07-07 06:14:59.272141824","2021-07-07 06:15:07.235432704",7.96329069137573,-230,135,28.1028861999512,0,265,0,0,265,0,-114.000350952148,0.069116353988647,-139.402008056641,0,357.884246826172,42.9032135009766,5.69094038009644,265,-113.379165649414,-0.318284273147583,-139.706481933594,0,358.056610107422,101.897117614746,0.545559883117675,-114.000350952148,0.977956652641296,0.033912029117345,-0.206036582589149,0.069116353988647,-139.402008056641,2,357.884246826172,42.9032135009766,5.69094038009644,0,-113.379165649414,-0.318284273147583,-139.706481933594,358.056610107422,101.897117614746,0.545559883117675,-114.000350952148,0.977956652641296,0.033912029117345,-0.206036582589149,0.069116353988647,-139.402008056641,357.884246826172,42.9032135009766,5.69094038009644,-113.379165649414,-0.318284273147583,-139.706481933594,358.056610107422,101.897117614746,0.545559883117675,0.977956652641296,0.033912029117345,-0.206036582589149,"[{'x': 0.977956652641296, 'y': 0.033912029117345005, 'z': -0.206036582589149}]","[1625638506.8252401, 1625638507.2354326]","[]","Belt","PTN",28.1028726051421,-28.1028726051421,28.1028861999512,28.103,28.103
"6",6,1027,6,12,"False","False","2021-07-07 06:15:08.379209984","2021-07-07 06:15:21.531659776",13.1524498462677,-230,300,27.5340061187744,0,70,0,0,70,0,298.17431640625,0.860442399978637,44.5312728881836,0,353.991729736328,230.111175537109,2.7300705909729,70,298.541900634766,0.436316967010498,43.9522933959961,0,356.457885742188,157.53401184082,1.66921722888946,298.17431640625,0.381404966115951,0.061782218515872,-0.922341585159301,0.860442399978637,44.5312728881836,2,353.991729736328,230.111175537109,2.7300705909729,0,298.541900634766,0.436316967010498,43.9522933959961,356.457885742188,157.53401184082,1.66921722888946,298.17431640625,0.381404966115951,0.061782218515872,-0.922341585159301,0.860442399978637,44.5312728881836,353.991729736328,230.111175537109,2.7300705909729,298.541900634766,0.436316967010498,43.9522933959961,356.457885742188,157.53401184082,1.66921722888946,0.381404966115951,0.061782218515872,-0.922341585159301,"[{'x': 0.38140496611595104, 'y': 0.061782218515872005, 'z': -0.9223415851593011}]","[1625638521.2211635, 1625638521.5316598]","[]","Belt","PTN",27.5340185594644,27.5340185594644,27.5340061187744,27.534,27.534
"7",7,1027,7,14,"False","False","2021-07-07 06:15:22.672461056","2021-07-07 06:15:29.172549888",6.50008893013,-230,60,23.0359973907471,0,190,0,0,190,0,263.107543945312,0.970979690551757,41.1916732788086,0,354.837738037109,324.950531005859,1.88458025455475,190,263.520690917969,0.54151964187622,40.3783264160156,0,354.627288818359,153.036010742188,1.24104166030884,263.107543945312,0.451438665390014,0.093634150922298,-0.887376427650451,0.970979690551757,41.1916732788086,2,354.837738037109,324.950531005859,1.88458025455475,0,263.520690917969,0.54151964187622,40.3783264160156,354.627288818359,153.036010742188,1.24104166030884,263.107543945312,0.451438665390014,0.093634150922298,-0.887376427650451,0.970979690551757,41.1916732788086,354.837738037109,324.950531005859,1.88458025455475,263.520690917969,0.54151964187622,40.3783264160156,354.627288818359,153.036010742188,1.24104166030884,0.451438665390014,0.093634150922298,-0.887376427650451,"[{'x': 0.45143866539001404, 'y': 0.093634150922298, 'z': -0.8873764276504511}]","[1625638528.8397324, 1625638529.17255]","[]","Belt","PTN",23.0360065185343,23.0360065185343,23.0359973907471,23.036,23.036
"8",8,1027,8,7,"False","False","2021-07-07 06:15:30.323271168","2021-07-07 06:15:41.938614784",11.6153435707092,-230,150,55.4098587036133,0,280,0,0,280,0,-292.134826660156,3.42735958099365,-95.9462432861328,0,349.969482421875,266.455993652344,4.13646554946899,280,-291.160705566406,3.17949056625366,-95.8624877929688,0,351.4033203125,74.5901336669922,4.66712141036987,-292.134826660156,0.953218936920166,0.149477928876876,0.262736558914184,3.42735958099365,-95.9462432861328,2,349.969482421875,266.455993652344,4.13646554946899,0,-291.160705566406,3.17949056625366,-95.8624877929688,351.4033203125,74.5901336669922,4.66712141036987,-292.134826660156,0.953218936920166,0.149477928876876,0.262736558914184,3.42735958099365,-95.9462432861328,349.969482421875,266.455993652344,4.13646554946899,-291.160705566406,3.17949056625366,-95.8624877929688,351.4033203125,74.5901336669922,4.66712141036987,0.953218936920166,0.149477928876876,0.262736558914184,"[{'x': 0.9532189369201661, 'y': 0.149477928876876, 'z': 0.262736558914184}]","[1625638541.6469662, 1625638541.9386148]","[]","Belt","PTN",55.4098503158443,-55.4098503158443,55.4098587036133,55.41,55.41
"9",9,1027,9,20,"False","False","2021-07-07 06:15:43.097272832","2021-07-07 06:15:53.962166016",10.8648931980133,-230,60,11.8578033447266,0,190,0,0,190,0,138.587814331055,-2.69993567466736,-127.927947998047,0,355.428161621094,335.714202880859,5.3564658164978,190,139.195739746094,-3.15154838562012,-128.528656005859,0,355.324432373047,118.142204284668,353.789855957031,138.587814331055,0.878845393657684,0.081513583660125,-0.470092117786407,-2.69993567466736,-127.927947998047,2,355.428161621094,335.714202880859,5.3564658164978,0,139.195739746094,-3.15154838562012,-128.528656005859,355.324432373047,118.142204284668,353.789855957031,138.587814331055,0.878845393657684,0.081513583660125,-0.470092117786407,-2.69993567466736,-127.927947998047,355.428161621094,335.714202880859,5.3564658164978,139.195739746094,-3.15154838562012,-128.528656005859,355.324432373047,118.142204284668,353.789855957031,0.878845393657684,0.081513583660125,-0.470092117786407,"[{'x': 0.8788453936576841, 'y': 0.08151358366012501, 'z': -0.470092117786407}]","[1625638553.6511743, 1625638553.962166]","[]","Belt","PTN",11.8577892816546,-11.8577892816546,11.8578033447266,11.858,11.858
"10",10,1027,10,4,"False","False","2021-07-07 06:15:55.113384192","2021-07-07 06:16:01.667537152",6.55415296554565,-230,105,16.1315135955811,0,235,0,0,235,0,2.74272155761719,2.10637283325195,41.5978012084961,0,350.889770507812,139.674255371094,2.17850089073181,235,3.07499694824219,1.78384065628052,41.108039855957,0,357.400451660156,146.13151550293,0.284124344587326,2.74272155761719,0.556715011596679,0.045355059206485,-0.829464435577392,2.10637283325195,41.5978012084961,2,350.889770507812,139.674255371094,2.17850089073181,0,3.07499694824219,1.78384065628052,41.108039855957,357.400451660156,146.13151550293,0.284124344587326,2.74272155761719,0.556715011596679,0.045355059206485,-0.829464435577392,2.10637283325195,41.5978012084961,350.889770507812,139.674255371094,2.17850089073181,3.07499694824219,1.78384065628052,41.108039855957,357.400451660156,146.13151550293,0.284124344587326,0.556715011596679,0.045355059206485,-0.829464435577392,"[{'x': 0.556715011596679, 'y': 0.045355059206485006, 'z': -0.829464435577392}]","[1625638561.4116008, 1625638561.6675372]","[]","Belt","PTN",16.1315126286833,16.1315126286833,16.1315135955811,16.132,16.132
